Item,Category,Description,Price_USD
Shaved Brussels Sprout & Kale Salad,Salad,"Hazelnuts, red onion, pecorino, lemon vinaigrette",14.0
Caesar Salad,Salad,"Romaine, black‑pepper pecorino dressing, anchovies, croutons",15.0
Arugula Salad,Salad,"Roasted beets, asparagus, radishes, walnuts, feta, citrus vinaigrette",13.0
Provincial Grain Bowl,Bowl,"Farro, chickpeas, kale, olives, veggies, paprika vinaigrette, 90‑min egg",15.0
Bread & Butter Pickles,Not Pizza,Sweet pickled cucumbers,6.0
Basket of Garlic Knots,Not Pizza,"Knots, gremolata, pecorino & tomato sauce",8.0
Smoked Tomato Soup,Not Pizza,"Seasoned yogurt, togarashi, chives, focaccia toast",7.0
Wood‑Fired Bavarian Pretzel,Not Pizza,Served with pimento cheese & beer mustard,13.0
Tomato Pie (SM),Pizza,"Tomato, pecorino, basil",14.0
Classic Margherita (SM),Pizza,"Mozzarella, tomato, pecorino, basil",15.0
White Anchovy (SM),Pizza,"Anchovies, olives, capers, pecorino",17.0
Carnivore (SM),Pizza,"Mozzarella, tomato, soppressata, sausage, bacon",20.0
Cheese Pizza (SM),Pizza,"Mozzarella blend, tomato, pecorino",15.0
