Item,Category,Description,Price_USD
Friendly Toast Benny,Benedict,"English muffin, smoked ham, poached eggs, hollandaise; served with home fries",15.0
Irish Benny,Benedict,"English muffin, house corned beef hash, poached eggs, hollandaise; home fries",16.5
Chorizo Benny,Benedict,"English muffin, avocado, chorizo, corn, pico, poached eggs, hollandaise; home fries",17.5
Chicken Cordon Bleu Benny,Benedict,"English muffin, ham, crispy chicken, cheddar sauce, hollandaise, sriracha glaze; home fries",18.5
Classic Breakfast,Breakfast Plate,"Two eggs, choice of breakfast meat & toast, home fries",13.5
Huevos Rancheros,Breakfast Plate,"Corn flats, black beans, avocado, sunny egg, cotija, pico, home fries",14.5
Monster Breakfast,Breakfast Plate,"Two pancakes or French toast, two eggs, breakfast meat, home fries",19.5
Chicken & Waffles,Breakfast Plate,"Belgian waffle wedges, crispy chicken, hot honey, chipotle maple sour cream",19.0
One Pancake,Sweet Stuff,"Sweet cream pancake, powdered sugar & whipped butter",9.0
Two Pancakes,Sweet Stuff,"Two sweet cream pancakes, choice of add‑ins",14.0
French Toast (1 slice),Sweet Stuff,"Sourdough French toast slice, powdered sugar & whipped butter",7.0
French Toast (2 slices),Sweet Stuff,"Two slices French toast, powdered sugar & whipped butter",12.0
Burger,Handheld,"Smash burger or Beyond patty, lettuce, tomato, choice cheese; waffle fries",14.0
BLT,Handheld,"Bacon, lettuce, tomato, mayo on toasted sourdough; waffle fries",14.0
Grilled Cheese,Handheld,Cheddar & American cheese on grilled sourdough; waffle fries,11.0
