Item,Category,Description,Price_USD
Grilled Chicken Pita,Pita,"Grilled chicken thighs, tzatziki, secret sauce, greens, tomatoes, onions, herbs, fries",11.59
Grilled Chicken Meal,Plate,"Grilled chicken skewer, rice or fries, tzatziki, Greek salad, pita",14.99
Crispy Chicken Pita,Pita,"Fried chicken, Greek ranch, bacon, avocado, greens, tomatoes, onions, herbs, fries",12.59
Crispy Chicken Meal,Plate,"Fried chicken, rice or fries, slaw, bacon, avocado, pita",15.99
Braised Pork Pita,Pita,"Slow-braised pork shoulder, spicy whipped feta, secret sauce, slaw, greens, tomatoes, onions, herbs, fries",11.59
Braised Pork Meal,Plate,"Braised pork, rice or fries, slaw, spicy whipped feta, Greek salad, pita",14.99
Lamb Meatball Pita,Pita,"Spicy lamb meatballs, charred eggplant sauce, garlic yogurt, secret sauce, slaw, greens, tomatoes, onions, herbs, fries",12.59
Lamb Meatball Meal,Plate,"Lamb meatballs, rice or fries, Greek salad, pita",15.99
Zucchini‑Feta Fritters Pita,Pita,"Vegetarian fritters, garlic yogurt, secret sauce, greens, tomatoes, onions, herbs, fries",10.59
Village Salad,Salad,"Greens, tomatoes, cucumbers, pickled onions, Greek olives, capers, peppers, feta, red wine vinaigrette",9.5
Baklava Crisps,Dessert,"Phyllo crisps, honey, nuts, cinnamon",2.5
