Item,Category,Description,Price_USD
Burnt Ends Sandwich,Sandwich,"Burnt ends, Texas toast, choice side",15.0
Pulled Pork Sandwich,Sandwich,"Pulled pork, BBQ sauce, choice side",13.5
Texas‑Style Brisket Sandwich,Sandwich,"Sliced brisket, choice side",16.0
Pulled Chicken Sandwich,Sandwich,"Pulled BBQ chicken thighs, choice side",13.75
Cheddar‑Jalapeño Link Sandwich,Sandwich,"Smoked hot link, pimento cheese, choice side",11.75
Famous Wings (6),Starter,Agave & pit‑spice smoked wings,11.0
Hot Wings (6),Starter,"Fermented habanero, brown butter wings",11.0
Sticky Fried Ribs (3),Starter,"Szechuan glazed ribs, sesame, jasmine rice salad",11.0
Pulled Pork Plate,BBQ Plate,"Pulled pork, two sides",20.0
1st Place St. Louis Ribs Plate,BBQ Plate,"Half slab ribs, two sides",24.75
Brisket Plate,BBQ Plate,"Texas‑style brisket, two sides",27.75
Pit Crew Combo,Combo,Choice two meats & two sides,27.75
Cornbread,Side,Sweet cornbread slice,3.5
Pimento Mac & Cheese,Side,Mac & cheese with pimento & cornbread crumbs,7.5
Gooey Butter Cake,Dessert,Rich pound cake with cream‑cheese top,6.0
